stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
AB510,8783,"MONTRÉAL / VANIER",,  45.434216, -75.666588,,,,,,
AB520,7053,"MONTRÉAL / VANIER",,  45.434212, -75.666153,,,,,,
AB530,8947,"MONTRÉAL / EMOND",,  45.435215, -75.664146,,,,,,
AB540,7054,"MONTRÉAL / CYR",,  45.435043, -75.663971,,,,,,
AB550,8784,"MONTRÉAL / OLMSTEAD",,  45.435905, -75.662399,,,,,,
AB560,8758,"MONTRÉAL / OLMSTEAD",,  45.435589, -75.662582,,,,,,
AB570,7055,"MONTRÉAL / MARIER",,  45.436504, -75.660843,,,,,,
AB580,7057,"MONTRÉAL / BEGIN",,  45.436306, -75.660728,,,,,,
AB600,7058,"MONTRÉAL / LACASSE",,  45.437252, -75.658211,,,,,,
AB610,7056,"MONTRÉAL / BRADLEY",,  45.437458, -75.658325,,,,,,
AB620,7059,"MONTRÉAL / LAFONTAINE",,  45.437832, -75.656555,,,,,,
AB630,1543,"MONTRÉAL / GRANVILLE",,  45.438267, -75.655853,,,,,,
AB640,0929,"MONTRÉAL / DUCHARME",,  45.438648, -75.653984,,,,,,
AB650,8741,"MONTRÉAL / CANTIN",,  45.439041, -75.653275,,,,,,
AB660,8740,"MONTRÉAL / DE L'ÉGLISE",,  45.439583, -75.651260,,,,,,
AB670,8739,"MONTRÉAL / DE L'EGLISE",,  45.439667, -75.651398,,,,,,
AB680,7060,"MONTRÉAL / CIMETIÈRE NOTRE DAME CEMETERY",,  45.440189, -75.649269,,,,,,
AB690,0927,"MONTRÉAL / CIMETIÈRE NOTRE DAME CEMETERY",,  45.440300, -75.649681,,,,,,
AB700,0953,"MONTRÉAL / ST LAURENT",,  45.440903, -75.647102,,,,,,
AC010,8723,"MCARTHUR / VANIER",,  45.431255, -75.662941,,,,,,
AC020,8773,"MCARTHUR / VANIER",,  45.431049, -75.663109,,,,,,
AC030,7061,"MCARTHUR / OLMSTEAD",,  45.431229, -75.660637,,,,,,
AC035,8774,"MCARTHUR / OLMSTEAD",,  45.431431, -75.660027,,,,,,
AC040,7062,"MCARTHUR / CRETE",,  45.431583, -75.658600,,,,,,
AC050,8932,"MCARTHUR / ALLEN",,  45.431458, -75.657265,,,,,,
AC060,7063,"MCARTHUR / LACASSE",,  45.431705, -75.656784,,,,,,
AC070,5826,"MCARTHUR / CARMEN",,  45.431599, -75.655647,,,,,,
AC080,8615,"MCARTHUR / LAFONTAINE",,  45.431801, -75.654915,,,,,,
AC090,7064,"MCARTHUR / LAFONTAINE",,  45.431667, -75.654266,,,,,,
AC100,7065,"MCARTHUR / EASTWOOD",,  45.431957, -75.653038,,,,,,
AC110,8600,"MCARTHUR / MILLER",,  45.431808, -75.652428,,,,,,
AC120,7066,"MCARTHUR / BRANT",,  45.432087, -75.650055,,,,,,
AC130,7067,"MCARTHUR / BRANT",,  45.431980, -75.650070,,,,,,
AC140,8605,"MCARTHUR / DE L'ÉGLISE",,  45.432255, -75.648102,,,,,,
AC150,8662,"MCARTHUR / MOORVALE",,  45.432095, -75.648407,,,,,,
AC160,7068,"MCARTHUR / MAY",,  45.432465, -75.644966,,,,,,
AC170,8601,"MCARTHUR / MAY",,  45.432262, -75.645660,,,,,,
AC180,7069,"MCARTHUR / ST LAURENT",,  45.432602, -75.643188,,,,,,
AC190,7070,"MCARTHUR / ST LAURENT",,  45.432461, -75.643486,,,,,,
AD010,7080,"VANIER / COVENTRY",,  45.420925, -75.658073,,,,,,
AD020,7081,"VANIER / COVENTRY",,  45.421806, -75.659210,,,,,,
AD030,8175,"VANIER / PRESLAND",,  45.422642, -75.661575,,,,,,
AD040,8174,"VANIER / PRESLAND",,  45.422447, -75.660515,,,,,,
AD050,7082,"VANIER / QUEEN MARY",,  45.424576, -75.662437,,,,,,
AD060,7084,"VANIER / QUEEN MARY",,  45.424240, -75.662056,,,,,,
AD070,7083,"VANIER / DONALD",,  45.426937, -75.662964,,,,,,
AD080,8517,"VANIER / DONALD",,  45.427692, -75.662712,,,,,,
AD085,5700,"VANIER / MCARTHUR",,  45.430447, -75.664024,,,,,,
AD090,8770,"VANIER / MCARTHUR",,  45.431686, -75.664009,,,,,,
AD100,8945,"VANIER / MCARTHUR",,  45.431705, -75.664352,,,,,,
AD110,7085,"VANIER / MONTRÉAL",,  45.433987, -75.665749,,,,,,
AD135,1995,"MCARTHUR / NORTH RIVER",,  45.430698, -75.667999,,,,,,
AD140,8777,"MCARTHUR / MAYFIELD",,  45.431080, -75.665703,,,,,,
AD145,7086,"MCARTHUR / MAYFIELD",,  45.430862, -75.665680,,,,,,
AD200,8780,"NORTH RIVER / MONTREAL",,  45.432442, -75.669975,,,,,,
AD210,8786,"NORTH RIVER / SELKIRK",,  45.431995, -75.669472,,,,,,
AD220,7087,"NORTH RIVER / AD. 333",,  45.431278, -75.669434,,,,,,
AD230,7088,"NORTH RIVER / MCARTHUR",,  45.431221, -75.669090,,,,,,
AD260,8772,"NORTH RIVER / WASHINGTON",,  45.429462, -75.668488,,,,,,
AD265,8768,"NORTH RIVER / WASHINGTON",,  45.429287, -75.668198,,,,,,
AD270,7090,"NORTH RIVER / ONTARIO",,  45.427952, -75.667549,,,,,,
AD280,7089,"NORTH RIVER / ONTARIO",,  45.427891, -75.667740,,,,,,
